iter	RMSE
0	0.9978585814
1	0.9966479555
2	0.9954540405
3	0.9942459658
4	0.9930400501
5	0.9918399704
6	0.990654818
7	0.989477998
8	0.988279795
9	0.9870721726
10	0.9858784241
11	0.9846986287
12	0.9835142441
13	0.9822985362
14	0.9811089647
15	0.9799710554
16	0.9788309478
17	0.97763577
18	0.9764501309
19	0.9752626133
20	0.9740738075
21	0.9729284224
22	0.9717618319
23	0.9705775304
24	0.9694186915
25	0.9682339869
26	0.9670640846
27	0.9658856784
28	0.9647104621
29	0.9635568517
30	0.962390557
31	0.9612552446
32	0.9601288165
33	0.958972935
34	0.957832435
35	0.9566736401
36	0.9555204566
37	0.9543656937
38	0.9532097254
39	0.9520450864
40	0.9509084003
41	0.949766668
42	0.9486382285
43	0.9475026763
44	0.9463833906
45	0.9452318701
46	0.9441132217
47	0.9429752068
48	0.9418345515
49	0.9406999355
50	0.9395400394
51	0.9384007687
52	0.937273926
53	0.9361414945
54	0.9350425735
55	0.9339095881
56	0.9327802668
57	0.9316581833
58	0.9305112724
59	0.9294000451
60	0.928289487
61	0.9271750864
62	0.9260538847
63	0.9249504949
64	0.923852881
65	0.9227742864
66	0.92166945
67	0.9205617775
68	0.9194388403
69	0.918348736
70	0.9172379129
71	0.9161325574
72	0.9150440686
73	0.9139410563
74	0.9128333097
75	0.9117293202
76	0.9106357795
77	0.9095521826
78	0.9084742454
79	0.9073764619
80	0.906335658
81	0.9052425717
82	0.9041585453
83	0.9030741865
84	0.9020040212
85	0.9009287278
86	0.8998512951
87	0.898756459
88	0.8976730135
89	0.8965930397
90	0.8955184595
91	0.8944613149
92	0.8933985786
93	0.8923330181
94	0.8912692989
95	0.8902047157
96	0.8891150687
97	0.8880561443
98	0.8870017244
99	0.8859513675
100	0.8848844847
101	0.8838669982
102	0.8827992393
103	0.881761149
104	0.8806939775
105	0.8796358637
106	0.8785652502
107	0.8774979084
108	0.8764246826
109	0.8753732064
110	0.8743608495
111	0.8733033696
112	0.8722381835
113	0.8711637483
114	0.8701269883
115	0.8690686317
116	0.8680202156
117	0.8669604686
118	0.8659116957
119	0.8648709071
120	0.8638516307
121	0.8628177672
122	0.8617722311
123	0.8607483798
124	0.8597177121
125	0.8586880486
126	0.8576666107
127	0.8566571772
128	0.8556210717
129	0.8545900382
130	0.8535462171
131	0.8525682013
132	0.8515186903
133	0.8504904536
134	0.8494715217
135	0.8484368099
136	0.8474335716
137	0.8464196152
138	0.8453858197
139	0.8443706835
140	0.8433590496
141	0.842371727
142	0.8413833307
143	0.840398855
144	0.8393910745
145	0.8383785275
146	0.8373600529
147	0.8363480893
148	0.8353445578
149	0.8343272681
150	0.8333352198
151	0.83233821
152	0.831339446
153	0.8303329151
154	0.8293326435
155	0.8283338556
156	0.8273452966
157	0.8263445961
158	0.8253666323
159	0.8243671938
160	0.8233671902
161	0.8223594326
162	0.821352768
163	0.8203571283
164	0.8193728104
165	0.8183731267
166	0.8173976496
167	0.8164149637
168	0.815445728
169	0.8144567549
170	0.8134738754
171	0.8124834717
172	0.8115111218
173	0.8105387318
174	0.8095878006
175	0.8086039371
176	0.8076318184
177	0.8066698657
178	0.8057533234
179	0.8047849661
180	0.8038224819
181	0.8028463625
182	0.8019027404
183	0.800935886
184	0.7999709579
185	0.7990376692
186	0.798071897
187	0.7971255824
188	0.7961496325
189	0.7951859323
190	0.7942423039
191	0.7932823518
192	0.7923329201
193	0.7913776976
194	0.7904287932
195	0.7894795338
196	0.7885263876
197	0.7875879987
198	0.7866397009
199	0.7857021772
200	0.7847701939
201	0.7838191801
202	0.7828862011
203	0.7819683895
204	0.7810341691
205	0.7800949056
206	0.7791636696
207	0.7782339093
208	0.7773061405
209	0.776397601
210	0.7754752731
211	0.774527049
212	0.7735846517
213	0.7726716046
214	0.7717566491
215	0.7708162037
216	0.7698855341
217	0.7689670816
218	0.7680419035
219	0.767120597
220	0.7662113149
221	0.7653104222
222	0.7643971084
223	0.7634934972
224	0.7625795858
225	0.7616820157
226	0.7607701343
227	0.759878779
228	0.7589520264
229	0.7580551563
230	0.7571627449
231	0.7562598252
232	0.7553721172
233	0.7544497631
234	0.7535521553
235	0.7526554644
236	0.7517353548
237	0.750871403
238	0.7499597025
239	0.7490623577
240	0.7481719694
241	0.7472737795
242	0.7463915114
243	0.7454889285
244	0.744593216
245	0.743708574
246	0.7428015868
247	0.7419019592
248	0.741012057
249	0.7401121071
250	0.73923632
251	0.7383559572
252	0.7374757487
253	0.7365975817
254	0.7357215998
255	0.7348281306
256	0.7339367121
257	0.7330657902
258	0.7321712528
259	0.7313024322
260	0.7304328197
261	0.7295446692
262	0.7286556708
263	0.7277802279
264	0.7268991298
