iter	Passed	Remaining
0	80	28566
1	155	27288
2	230	27019
3	300	26278
4	364	25410
5	428	24878
6	491	24368
7	561	24278
8	632	24256
9	704	24220
10	776	24207
11	841	23990
12	907	23806
13	973	23641
14	1042	23563
15	1107	23397
16	1177	23337
17	1242	23197
18	1306	23044
19	1372	22913
20	1440	22835
21	1512	22818
22	1583	22788
23	1651	22706
24	1716	22589
25	1782	22480
26	1848	22388
27	1915	22298
28	1982	22218
29	2049	22134
30	2117	22058
31	2184	21985
32	2254	21926
33	2399	22584
34	2470	22517
35	2539	22432
36	2606	22327
37	2678	22277
38	2747	22191
39	2824	22170
40	2898	22129
41	2974	22098
42	3050	22062
43	3126	22026
44	3201	21983
45	3274	21926
46	3348	21869
47	3415	21774
48	3484	21690
49	3552	21599
50	3622	21522
51	3691	21439
52	3757	21337
53	3825	21252
54	3894	21171
55	3967	21113
56	4038	21044
57	4108	20967
58	4181	20908
59	4252	20839
60	4321	20755
61	4390	20675
62	4458	20591
63	4525	20507
64	4592	20420
65	4661	20340
66	4777	20463
67	4845	20380
68	4912	20290
69	4982	20215
70	5049	20128
71	5114	20032
72	5180	19941
73	5246	19850
74	5309	19752
75	5374	19658
76	5444	19584
77	5510	19499
78	5591	19464
79	5658	19378
80	5720	19279
81	5783	19185
82	5849	19099
83	5914	19009
84	5976	18915
85	6050	18853
86	6121	18786
87	6195	18726
88	6264	18653
89	6333	18578
90	6403	18507
91	6475	18440
92	6545	18368
93	6614	18294
94	6679	18210
95	6743	18123
96	6809	18041
97	6873	17955
98	6945	17889
99	7015	17818
100	7082	17742
101	7145	17654
102	7212	17574
103	7276	17491
104	7338	17401
105	7401	17317
106	7463	17228
107	7528	17148
108	7596	17073
109	7661	16995
110	7729	16921
111	7795	16844
112	7860	16763
113	7925	16684
114	7991	16609
115	8056	16529
116	8120	16448
117	8189	16378
118	8255	16302
119	8317	16219
120	8384	16144
121	8458	16084
122	8520	16002
123	8634	16014
124	8716	15968
125	8785	15896
126	8853	15824
127	9013	15914
128	9104	15880
129	9185	15826
130	9264	15770
131	9334	15699
132	9411	15638
133	9484	15570
134	9554	15499
135	9627	15432
136	9701	15366
137	9777	15303
138	9850	15236
139	9922	15167
140	9993	15096
141	10065	15027
142	10137	14957
143	10211	14891
144	10285	14825
145	10357	14755
146	10424	14679
147	10492	14604
148	10558	14527
149	10627	14453
150	10695	14378
151	10762	14302
152	10826	14222
153	10890	14144
154	10957	14067
155	11030	13999
156	11094	13921
157	11170	13857
158	11297	13855
159	11375	13792
160	11457	13735
161	11534	13670
162	11624	13621
163	11706	13562
164	11797	13513
165	11899	13476
166	11994	13430
167	12075	13369
168	12162	13314
169	12239	13247
170	12340	13206
171	12424	13147
172	12503	13081
173	12571	13005
174	12653	12942
175	12775	12921
176	13008	13008
177	13297	13147
178	13491	13190
179	13624	13170
180	13717	13110
181	13805	13046
182	13890	12979
183	13979	12915
184	14100	12880
185	14214	12839
186	14313	12782
187	14404	12719
188	14489	12649
189	14575	12580
190	14659	12510
191	14745	12441
192	14828	12369
193	14915	12301
194	14996	12228
195	15075	12152
196	15160	12082
197	15255	12019
198	15338	11946
199	15418	11872
200	15497	11796
201	15580	11723
202	15658	11647
203	15752	11582
204	15861	11528
205	15965	11470
206	16062	11407
207	16168	11349
208	16265	11284
209	16362	11220
210	16454	11151
211	16538	11077
212	16644	11018
213	16724	10941
214	16816	10871
215	16969	10841
216	17170	10840
217	17315	10802
218	17402	10727
219	17483	10649
220	17578	10578
221	17679	10512
222	17766	10437
223	17914	10396
224	18129	10394
225	18215	10316
226	18310	10244
227	18406	10172
228	18492	10093
229	18573	10013
230	18648	9929
231	18722	9845
232	18797	9761
233	18866	9675
234	18935	9588
235	19006	9503
236	19077	9417
237	19147	9332
238	19215	9246
239	19282	9159
240	19351	9073
241	19431	8993
242	19499	8907
243	19564	8819
244	19627	8732
245	19695	8646
246	19759	8559
247	19828	8475
248	19895	8389
249	19961	8303
250	20024	8217
251	20090	8131
252	20162	8049
253	20227	7963
254	20290	7877
255	20432	7821
256	20504	7739
257	20572	7654
258	20647	7573
259	20721	7491
260	20799	7411
261	20878	7331
262	20955	7250
263	21031	7169
264	21109	7089
265	21187	7009
266	21264	6928
267	21343	6849
268	21415	6766
269	21489	6685
270	21562	6603
271	21636	6522
272	21724	6445
273	21816	6369
274	21902	6291
275	21980	6211
276	22060	6132
277	22142	6053
278	22222	5973
279	22302	5894
280	22378	5813
281	22454	5733
282	22532	5652
283	22630	5577
284	22723	5501
285	22821	5426
286	22918	5350
287	23018	5274
288	23101	5195
289	23195	5119
290	23285	5041
291	23365	4961
292	23447	4881
293	23535	4803
294	23627	4725
295	23721	4648
296	23814	4570
297	23913	4493
298	23999	4414
299	24081	4334
300	24163	4254
301	24253	4176
302	24331	4095
303	24410	4014
304	24484	3933
305	24554	3851
306	24627	3770
307	24716	3691
308	24809	3613
309	24894	3533
310	24979	3453
311	25062	3373
312	25139	3293
